ID,creator,age,stim,inverted,category1,category2,category3,confidence,creativity,filepath
3028,child,4.0,G,False,completing,,,2.0,0,../data/children/stimuli_G/3028.png
3028,child,4.0,I,False,creature/monster,,,2.0,2.0,../data/children/stimuli_I/3028.png
3028,child,4.0,R,False,creature/monster,,,1.0,1.0,../data/children/stimuli_R/3028.png
4001,child,6.0,G,False,mushroom,circles,heart,1.0,1,../data/children/stimuli_G/4001.png
4001,child,6.0,I,False,abstract doodle/hard to interpret,heart,,1.0,1.0,../data/children/stimuli_I/4001.png
4001,child,6.0,R,False,house,door,,2.0,2.0,../data/children/stimuli_R/4001.png
4002,child,6.0,G,False,completing,,,2.0,0,../data/children/stimuli_G/4002.png
4002,child,6.0,I,False,completing,,,1.0,1.0,../data/children/stimuli_I/4002.png
4002,child,6.0,R,False,completing,,,1.0,1.0,../data/children/stimuli_R/4002.png
4003,child,6.0,G,False,completing,,,2.0,0,../data/children/stimuli_G/4003.png
4003,child,6.0,I,False,abstract doodle/hard to interpret,,,1.0,1.0,../data/children/stimuli_I/4003.png
4003,child,6.0,R,False,abstract doodle/hard to interpret,lines,,1.0,1.0,../data/children/stimuli_R/4003.png
4004,child,5.0,G,True,(smiley) face,,,2.0,2,../data/children/stimuli_G/4004.png
4004,child,5.0,I,False,house,door,,2.0,2.0,../data/children/stimuli_I/4004.png
4004,child,5.0,R,True,abstract doodle/hard to interpret,,,1.0,1.0,../data/children/stimuli_R/4004.png
4005,child,7.0,G,False,abstract doodle/hard to interpret,,,2.0,0,../data/children/stimuli_G/4005.png
4005,child,7.0,I,False,house,door,,2.0,2.0,../data/children/stimuli_I/4005.png
4005,child,7.0,R,True,completing,,,2.0,0.0,../data/children/stimuli_R/4005.png
4006,child,6.0,G,False,abstract doodle/hard to interpret,tic/tac/toe,,2.0,1,../data/children/stimuli_G/4006.png
4006,child,6.0,I,False,abstract doodle/hard to interpret,,,2.0,1.0,../data/children/stimuli_I/4006.png
4006,child,6.0,R,True,abstract doodle/hard to interpret,lines,,2.0,1.0,../data/children/stimuli_R/4006.png
4007,child,9.0,G,True,(smiley) face,glasses,,2.0,4,../data/children/stimuli_G/4007.png
4007,child,9.0,I,True,angel,wings,,2.0,3.0,../data/children/stimuli_I/4007.png
4007,child,9.0,R,False,house,person(s),door,2.0,3.0,../data/children/stimuli_R/4007.png
4008,child,7.0,G,False,mushroom,door,copying,2.0,2,../data/children/stimuli_G/4008.png
4008,child,7.0,I,False,house,door,copying,2.0,2.0,../data/children/stimuli_I/4008.png
4008,child,7.0,R,True,baby,diaper,,2.0,4.0,../data/children/stimuli_R/4008.png
4009,child,5.0,G,False,abstract doodle/hard to interpret,,,1.0,10,../data/children/stimuli_G/4009.png
4009,child,5.0,I,False,abstract doodle/hard to interpret,,,1.0,10.0,../data/children/stimuli_I/4009.png
4009,child,5.0,R,True,abstract doodle/hard to interpret,,,1.0,10.0,../data/children/stimuli_R/4009.png
4010,child,4.0,G,True,(smiley) face,numbers,ears,1.0,1,../data/children/stimuli_G/4010.png
4010,child,4.0,I,False,abstract doodle/hard to interpret,circles,lines,1.0,1.0,../data/children/stimuli_I/4010.png
4010,child,4.0,R,True,abstract doodle/hard to interpret,,,1.0,0.0,../data/children/stimuli_R/4010.png
4011,child,4.0,G,False,creature/monster,,,1.0, ,../data/children/stimuli_G/4011.png
4011,child,4.0,I,False,creature/monster,circles,,1.0,1.0,../data/children/stimuli_I/4011.png
4011,child,4.0,R,False,creature/monster,circles,,1.0,1.0,../data/children/stimuli_R/4011.png
4012,child,6.0,G,False,abstract doodle/hard to interpret,,,2.0,0,../data/children/stimuli_G/4012.png
4012,child,6.0,I,False,(smiley) face,,,2.0,1.0,../data/children/stimuli_I/4012.png
